product_title,product_image,price,pack_size,price_per_unit
Mamia Fruit Snack Cereal Bars Apple & Raspberry 12+ months 8pk 128g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/2020/ALN3077_BABY-FOOD_PD_388x314_3.jpg,$3.69,8pk,$2.88 per 100g
"Mamia Fruit Snack Cereal Bars Apple, Blueberry & Banana 12+ months 8pk 128g",https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/2020/ALN3077_BABY-FOOD_PD_388x314_2.jpg,$3.69,8pk,$2.88 per 100g
Mamia Fruit Snack Cereal Bars Apple 12+ months 8pk 128g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/2020/ALN3077_BABY-FOOD_PD_388x314_.jpg,$3.69,8pk,$2.88 per 100g
Mamia Organic Fruit 4 months+ 120g,,$1.39,ea,$1.16 per 100g
Mamia Organic Breakfast 120g,,$1.39,ea,$1.16 per 100g
LACURA® Revive Intensive Serum Night Elixir 30ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_EXISTING_PD_388x314_12.jpg,$12.99,,$43.30 per 100ml
LACURA® Renew Expert Firming Eye Gel 15ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_8.jpg,$12.99,,$86.60 per 100ml
LACURA® Renew Expert Face Cream Night 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_7.jpg,$12.99,,$25.98 per 100ml
LACURA® Renew Expert Face Cream Day 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_6.jpg,$12.99,,$25.98 per 100ml
LACURA®Essentials Renew Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/fm-dam/images/The_Block/Fuelling_the_Block_2016/ALC7782_THE_BLOCK_PD_388x314_49.jpg,$1.69,,6c per wipe
LACURA®Skin Science Renew Serum 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_12.jpg,$9.99,,$19.98 per 100ml
